"id_jogo","cod","rodada","temporada","data","horario","jogo","placar","odds_mandante","odds_empate","odds_visitante","site_apostas","time","pos_rodada","pos_adv_rodada","condicao","pts","vit","diff_gols","pr_vitoria","pr_empate","e_pontos","surpresa","cum_surpresa","cum_pts","cum_vit","cum_saldo","pts_4","trocou","m","di","tratado","periodo"
1,"20091AVACAM2",1,2009,"2009-05-09","18:30","Avaí - Atlético-MG","2-2",2.16,3.27,3.02,6,"Atlético-MG",6,6,"visitante",1,0,0,0.301051070250364,0.278034933381071,1.18118814413216,-0.181188144132164,-0.181188144132164,1,0,0,,0,,,,
11,"20092CAMGRE1",2,2009,"2009-05-16","18:30","Atlético-MG - Grêmio","2-1",2.3,3.24,2.92,7,"Atlético-MG",5,14,"mandante",3,1,1,0.400392741061755,0.284229414951246,1.48540763813651,1.51459236186349,1.33340421773132,4,1,1,,0,,,,
30,"20093SPOCAM2",3,2009,"2009-05-24","18:30","Sport - Atlético-MG","2-3",1.83,3.43,4.17,8,"Atlético-MG",3,18,"visitante",3,1,1,0.222497527568936,0.270499909610047,0.937992492316854,2.06200750768315,3.39541172541447,7,2,2,,0,,,,
31,"20094CAMSTA1",4,2009,"2009-05-30","18:30","Atlético-MG - Santo André","0-0",1.59,3.65,5.75,8,"Atlético-MG",5,9,"mandante",1,0,0,0.584065008974912,0.254428318978112,2.00662334590285,-1.00662334590285,2.38878837951162,8,2,2,,0,,,,
44,"20095CAPCAM2",5,2009,"2009-06-07","16:00","Atlético-PR - Atlético-MG","0-4",2.1,3.3,3.36,7,"Atlético-MG",2,20,"visitante",3,1,4,0.276381909547739,0.281407035175879,1.1105527638191,1.8894472361809,4.27823561569253,11,3,6,10,0,,,,
54,"20096CAMNAU1",6,2009,"2009-06-14","16:00","Atlético-MG - Náutico","3-0",1.56,3.77,5.74,8,"Atlético-MG",1,9,"mandante",3,1,3,0.593271081331528,0.245491481930287,2.02530472592487,0.97469527407513,5.25293088976766,14,4,9,10,0,,,,
70,"20097SANCAM2",7,2009,"2009-06-21","18:30","Santos - Atlético-MG","2-3",1.84,3.43,4.12,8,"Atlético-MG",1,10,"visitante",3,1,1,0.22521017999115,0.270514851767796,0.946145391741247,2.05385460825875,7.30678549802641,17,5,10,10,0,,,,
72,"20098BARCAM2",8,2009,"2009-06-27","16:10","Barueri - Atlético-MG","4-2",2.7,3.3,2.49,8,"Atlético-MG",1,4,"visitante",0,0,-2,0.373584905660377,0.28188679245283,1.40264150943396,-1.40264150943396,5.90414398859245,17,5,8,9,0,,,,
84,"20099CAMBOT1",9,2009,"2009-07-05","16:00","Atlético-MG - Botafogo","1-1",1.66,3.51,4.95,8,"Atlético-MG",2,19,"mandante",1,0,0,0.553009252628262,0.261537139419634,1.92056489730442,-0.92056489730442,4.98357909128803,18,5,8,7,0,,,,
95,"200910CRUCAM2",10,2009,"2009-07-12","16:00","Cruzeiro - Atlético-MG","0-3",3.11,3.39,2.17,8,"Atlético-MG",1,16,"visitante",3,1,3,0.427740294304991,0.273804259186381,1.55702514210136,1.44297485789864,6.42655394918667,21,6,11,7,0,,,,
