id_jogo,cod,rodada,temporada,data,horario,jogo,placar,odds_mandante,odds_empate,odds_visitante,site_apostas,time,pos_rodada,pos_adv_rodada,condicao,pts,vit,diff_gols,pr_vitoria,pr_empate,e_pontos,surpresa,cum_surpresa,cum_pts,cum_vit,cum_saldo,pts_4,trocou,m,di,tratado,periodo
34,20134VASCAM2,4,2013,2013-06-05,21:00,Vasco - Atlético-MG,2-0,3.51,3.27,2.1,11,Atlético-MG,20,10,visitante,0,0,-2,0.44633045182515,0.286634235117069,1.62562559059252,-1.62562559059252,-3.31693333466192,1,0,-3,,0,1.5,,0,0
44,20132CAMGRE1,2,2013,2013-06-09,18:30,Atlético-MG - Grêmio,2-0,2.04,3.33,3.61,11,Atlético-MG,10,2,mandante,3,1,2,0.459198056450042,0.281310521068494,1.65890469041862,1.34109530958138,-1.97583802508054,4,1,-1,,0,1.5,,0,0
48,20135SANCAM2,5,2013,2013-06-12,19:30,Santos - Atlético-MG,1-0,2.73,3.22,2.56,11,Atlético-MG,17,15,visitante,0,0,-1,0.36593041552538,0.290926044641296,1.38871729121744,-1.38871729121744,-3.36455531629797,4,1,-2,4,0,1.5,,0,0
59,20136CAMCRI1,6,2013,2013-07-07,18:30,Atlético-MG - Criciúma,3-2,1.76,3.59,4.52,11,Atlético-MG,13,17,mandante,3,1,1,0.532019252206528,0.260822808881195,1.85688056550078,1.14311943449922,-2.22143588179876,7,2,-1,6,0,1.5,,0,0
65,20137CORCAM2,7,2013,2013-07-14,16:00,Corinthians - Atlético-MG,0-1,1.54,3.83,6.2,11,Atlético-MG,9,11,visitante,3,1,1,0.150494230994943,0.243619903960482,0.69510259694531,2.30489740305469,0.0834615212559344,10,3,0,9,0,1.5,,0,0
86,20139CRUCAM2,9,2013,2013-07-28,16:00,Cruzeiro - Atlético-MG,4-1,1.73,3.61,4.69,11,Atlético-MG,13,1,visitante,0,0,-3,0.199594757413734,0.259307316418397,0.858091588659599,-0.858091588659599,-0.774630067403665,10,3,-3,6,0,1.5,,0,0
92,201310CAMCAP1,10,2013,2013-07-31,19:30,Atlético-MG - Atlético-PR,1-2,1.6,3.94,5.34,11,Atlético-MG,17,12,mandante,0,0,-1,0.586263779132625,0.238076661576701,1.99686799897458,-1.99686799897458,-2.77149806637824,10,3,-4,6,0,1.5,,0,0
103,201311FLACAM2,11,2013,2013-08-04,16:00,Flamengo - Atlético-MG,3-0,2.26,3.21,3.18,11,Atlético-MG,18,12,visitante,0,0,-3,0.294313811401587,0.291563215033348,1.17450464923811,-1.17450464923811,-3.94600271561635,10,3,-7,3,0,1.5,,0,0
112,201312CAMBOT1,12,2013,2013-08-07,21:50,Atlético-MG - Botafogo,2-2,2.04,3.32,3.62,10,Atlético-MG,16,2,mandante,1,0,0,0.459138141809291,0.282121026894866,1.65953545232274,-0.659535452322738,-4.60553816793909,11,3,-7,1,0,1.5,,0,0
118,201313NAUCAM2,13,2013,2013-08-10,18:30,Náutico - Atlético-MG,0-0,3.48,3.37,2.06,9,Atlético-MG,16,20,visitante,1,0,0,0.453879080135921,0.277445372427299,1.63908261283506,-0.639082612835061,-5.24462078077415,12,3,-7,2,0,1.5,,0,0
